cidade,temperatura,sens_termica,temp_min,temp_max,umidade,clima,descricao,velo_vento,direcao_vento,pressao,visibilidade,hora
Teresina,23.84,24.89,23.84,23.84,100,Clear,clear sky,0.0,0,1013,10000,2024-05-29 06:28:49
Rio de Janeiro,20.98,21.43,20.98,21.0,88,Clouds,overcast clouds,4.12,180,1017,10000,2024-05-29 06:28:49
Natal,24.12,25.04,24.12,24.36,94,Clouds,broken clouds,1.03,0,1014,10000,2024-05-29 06:28:49
Porto Alegre,11.76,11.55,11.61,13.13,98,Mist,mist,3.09,280,1023,4000,2024-05-29 06:28:49
Porto Velho,20.03,20.26,20.03,20.03,83,Clouds,broken clouds,2.57,170,1017,10000,2024-05-29 06:28:50
Boa Vista,23.99,24.9,23.99,23.99,94,Clouds,scattered clouds,1.03,200,1014,10000,2024-05-29 06:28:50
Florianópolis,13.08,12.43,11.97,16.89,76,Clouds,few clouds,3.09,340,1018,10000,2024-05-29 06:28:50
São Paulo,10.26,9.59,9.75,10.94,86,Clear,clear sky,3.13,333,1023,10000,2024-05-29 06:28:50
Aracaju,22.97,23.93,22.97,22.97,100,Mist,mist,3.6,190,1015,2500,2024-05-29 06:28:50
Palmas,20.93,21.12,20.93,20.93,78,Clear,clear sky,2.57,120,1015,10000,2024-05-29 06:28:50
Rio Branco,13.34,13.34,13.34,13.34,100,Clouds,scattered clouds,1.03,210,1020,10000,2024-05-29 07:33:41
Maceió,23.69,24.73,23.69,23.69,100,Clouds,broken clouds,2.06,290,1016,6000,2024-05-29 07:33:41
Macapá,24.99,26.0,24.99,24.99,94,Clouds,overcast clouds,3.6,160,1014,2000,2024-05-29 07:33:41
Manaus,25.27,26.15,25.27,25.28,88,Clouds,broken clouds,1.54,240,1015,10000,2024-05-29 07:33:41
Salvador,23.98,24.5,23.98,23.98,79,Clouds,broken clouds,3.13,244,1018,10000,2024-05-29 07:33:41
Fortaleza,25.07,25.93,25.07,25.12,88,Clouds,scattered clouds,3.6,160,1014,10000,2024-05-29 07:33:41
Brasília,15.51,15.73,15.51,16.46,100,Fog,fog,1.54,180,1022,500,2024-05-29 07:33:42
Vitória,23.25,23.98,21.92,23.25,90,Clear,clear sky,0.89,180,1017,10000,2024-05-29 07:33:42
Goiânia,16.83,17.02,16.83,16.83,94,Mist,mist,3.6,140,1022,1000,2024-05-29 07:33:42
São Luís,27.93,31.48,27.93,27.93,77,Clouds,scattered clouds,2.89,66,1015,10000,2024-05-29 07:33:42
Cuiabá,11.96,11.48,11.96,11.96,87,Clear,clear sky,3.6,170,1021,10000,2024-05-29 07:33:42
Campo Grande,8.75,5.97,8.75,8.75,81,Clear,clear sky,5.14,120,1022,10000,2024-05-29 07:33:42
Belo Horizonte,17.5,17.6,15.44,19.12,88,Clear,clear sky,1.79,40,1021,10000,2024-05-29 07:33:42
Belém,27.02,30.69,27.02,27.02,89,Clear,clear sky,1.54,80,1013,10000,2024-05-29 07:33:42
João Pessoa,24.13,25.05,24.13,24.13,94,Clouds,broken clouds,2.57,180,1015,10000,2024-05-29 07:33:43
Curitiba,5.15,3.48,4.24,9.54,93,Clouds,few clouds,2.06,200,1023,7000,2024-05-29 07:33:43
Recife,24.02,25.09,24.02,24.02,100,Clouds,broken clouds,1.03,260,1015,9000,2024-05-29 07:33:43
Teresina,25.84,26.8,25.84,25.84,89,Clouds,scattered clouds,1.03,10,1013,10000,2024-05-29 07:33:43
Rio de Janeiro,20.99,21.26,19.97,21.12,81,Clouds,broken clouds,5.14,210,1017,10000,2024-05-29 07:33:43
Natal,24.12,25.2,24.12,24.36,100,Clouds,broken clouds,2.06,210,1015,10000,2024-05-29 07:33:43
Porto Alegre,11.74,11.53,11.61,12.58,98,Fog,fog,3.09,300,1024,600,2024-05-29 07:33:43
Porto Velho,19.03,19.29,19.03,19.03,88,Clouds,few clouds,1.03,190,1017,10000,2024-05-29 07:33:43
Boa Vista,23.99,24.9,23.99,23.99,94,Clouds,broken clouds,1.03,320,1015,10000,2024-05-29 07:33:44
Florianópolis,13.2,12.53,10.57,16.89,75,Clouds,few clouds,0.89,90,1016,10000,2024-05-29 07:33:44
São Paulo,10.14,9.48,8.75,11.36,87,Clear,clear sky,2.57,270,1024,10000,2024-05-29 07:33:44
Aracaju,22.97,23.93,22.97,22.97,100,Clouds,overcast clouds,3.6,200,1016,6000,2024-05-29 07:33:44
Palmas,20.93,20.98,20.93,20.93,73,Clear,clear sky,2.06,120,1015,10000,2024-05-29 07:33:44
Rio Branco,13.34,13.34,13.34,13.34,100,Clear,clear sky,1.03,220,1021,10000,2024-05-29 08:19:21
Maceió,24.69,25.67,24.69,24.69,94,Rain,light rain,3.09,310,1017,10000,2024-05-29 08:19:21
Macapá,25.99,25.99,25.99,25.99,89,Rain,light rain,3.6,110,1015,10000,2024-05-29 08:19:21
Manaus,25.27,26.02,25.27,25.28,83,Clouds,broken clouds,1.54,210,1016,10000,2024-05-29 08:19:21
Salvador,25.98,25.98,25.98,25.98,79,Clouds,broken clouds,3.13,244,1018,10000,2024-05-29 08:19:21
Fortaleza,26.98,31.1,26.07,27.82,94,Clouds,broken clouds,4.12,170,1014,10000,2024-05-29 08:19:21
Brasília,16.51,16.83,16.51,19.23,100,Mist,mist,1.54,210,1023,5000,2024-05-29 08:19:21
Vitória,24.36,24.99,24.36,24.92,82,Clear,clear sky,1.03,0,1017,10000,2024-05-29 08:19:21
Goiânia,16.83,17.02,16.83,16.83,94,Mist,mist,3.6,150,1023,1500,2024-05-29 08:19:21
São Luís,27.93,31.48,27.93,27.93,77,Clouds,scattered clouds,2.89,66,1015,10000,2024-05-29 08:19:21
Cuiabá,13.96,13.42,13.96,13.96,77,Clear,clear sky,3.6,170,1022,10000,2024-05-29 08:19:21
Campo Grande,9.75,7.04,9.75,9.75,76,Clear,clear sky,5.66,110,1023,10000,2024-05-29 08:19:21
Belo Horizonte,20.49,20.66,17.75,21.35,79,Clear,clear sky,1.54,70,1022,10000,2024-05-29 08:19:22
Belém,28.02,32.62,28.02,28.02,83,Clear,clear sky,4.12,70,1014,10000,2024-05-29 08:19:22
João Pessoa,26.13,26.13,26.13,26.13,89,Clouds,broken clouds,2.06,190,1016,10000,2024-05-29 08:19:22
Curitiba,6.32,4.32,5.91,6.95,73,Clear,clear sky,2.68,60,1023,10000,2024-05-29 08:19:22
Recife,25.02,26.19,25.02,25.02,100,Clouds,broken clouds,1.54,280,1016,10000,2024-05-29 08:19:22
Teresina,27.84,31.42,27.84,27.84,78,Clear,clear sky,1.03,340,1014,10000,2024-05-29 08:19:22
Rio de Janeiro,21.76,21.9,19.97,22.12,73,Clouds,broken clouds,5.14,240,1018,10000,2024-05-29 08:19:22
Natal,25.12,26.14,25.12,25.36,94,Clouds,broken clouds,3.09,210,1015,10000,2024-05-29 08:19:22
Porto Alegre,11.72,11.45,11.61,12.58,96,Clouds,scattered clouds,0.45,286,1024,10000,2024-05-29 08:19:22
Porto Velho,19.03,19.29,19.03,19.03,88,Clear,clear sky,1.54,190,1018,10000,2024-05-29 08:19:22
Boa Vista,23.99,24.9,23.99,23.99,94,Clouds,broken clouds,1.03,330,1015,10000,2024-05-29 08:19:22
Florianópolis,15.14,14.41,14.79,16.89,65,Clouds,few clouds,1.54,140,1017,10000,2024-05-29 08:19:22
São Paulo,12.26,11.63,11.2,13.94,80,Clear,clear sky,3.09,260,1025,10000,2024-05-29 08:19:22
Aracaju,23.97,24.88,23.97,23.97,94,Mist,mist,1.54,200,1017,4000,2024-05-29 08:19:22
Palmas,24.93,25.07,24.93,24.93,61,Clear,clear sky,1.54,190,1016,10000,2024-05-29 08:19:22
